Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.790,0,4,6,1.790,1.790,1.790,3.290,7.890,21.256,1,1,0,,0.000,0.000,0.000,0.000,19.466,
2,3.490,0,5,2,9.141,7.163,11.786,13.286,17.886,32.236,0,1,0,,5.651,3.673,5.651,3.673,28.746,C D CD 
3,21.490,0,8,4,31.195,28.940,33.840,35.340,39.940,57.290,1,1,0,,9.705,7.450,9.705,7.450,35.800,
4,22.660,0,8,4,31.195,28.940,33.840,35.340,39.940,57.290,0,0,0,,,,8.535,6.280,34.630,
5,23.630,0,8,4,31.195,28.940,33.840,35.340,39.940,57.290,0,0,0,,,,7.565,5.310,33.660,
6,23.680,0,1,1,37.158,36.658,39.823,41.323,45.923,55.305,0,1,0,,13.478,12.978,13.478,12.978,31.625,D 
7,27.170,0,8,4,31.195,28.940,33.840,35.340,39.940,57.290,0,0,0,,,,4.025,1.770,30.120,
8,29.350,0,8,4,31.195,29.350,33.840,35.340,39.940,57.290,0,0,0,,,,1.845,0.000,27.940,
9,29.480,0,6,6,36.201,33.688,38.846,40.346,44.946,60.296,0,1,0,,6.721,4.208,6.721,4.208,30.816,C D CD 
10,33.490,0,7,6,36.201,33.688,38.846,40.346,44.946,72.277,0,0,0,,,,2.711,0.198,38.787,C D CD 
11,36.420,0,3,1,37.158,36.658,39.823,41.323,45.923,68.933,0,0,0,,,,0.738,0.238,32.513,D 
12,40.780,0,8,2,48.485,46.230,51.130,52.630,57.230,97.190,0,1,0,,7.705,5.450,7.705,5.450,56.410,C D CD 
13,42.730,0,5,2,48.485,46.230,51.130,52.630,57.230,71.580,0,0,0,,,,5.755,3.500,28.850,C D CD 
14,45.970,0,2,0,63.666,63.166,66.331,67.831,72.431,100.942,0,1,0,,17.696,17.196,17.696,17.196,54.972,C D CD 
15,47.620,0,8,2,48.485,47.620,51.130,52.630,57.230,97.190,0,0,0,,,,0.865,0.000,49.570,
16,48.850,0,7,2,48.850,48.850,51.130,52.630,57.230,85.209,0,0,0,,,,0.000,0.000,36.359,
17,56.770,0,2,6,104.296,103.796,106.961,108.461,113.061,134.423,0,1,0,,47.526,47.026,47.526,47.026,77.653,H C D HD CD 
18,60.950,0,1,0,63.666,63.166,66.331,67.831,72.431,88.961,0,0,0,,,,2.716,2.216,28.011,
19,63.450,0,5,4,75.095,72.840,77.740,79.240,83.840,110.187,0,1,0,,11.645,9.390,11.645,9.390,46.737,C D CD 
20,65.300,0,4,4,75.095,72.840,77.740,79.240,83.840,97.206,0,0,0,,,,9.795,7.540,31.906,C D CD 
21,68.720,0,4,4,75.095,72.840,77.740,79.240,83.840,97.206,0,0,0,,,,6.375,4.120,28.486,C D CD 
22,68.870,0,7,4,75.095,72.840,77.740,79.240,83.840,123.816,0,0,0,,,,6.225,3.970,54.946,C D CD 
23,70.270,0,9,6,104.296,103.796,106.961,108.461,113.061,158.685,0,0,0,,,,34.026,33.526,88.415,H C D HD CD 
24,73.010,0,8,7,89.385,87.130,92.030,93.530,98.130,138.951,0,1,0,,16.375,14.120,16.375,14.120,65.941,D 
25,73.480,0,2,0,73.480,73.480,73.480,74.980,79.580,100.942,0,1,0,,0.000,0.000,0.000,0.000,27.462,
26,76.400,0,1,6,104.296,103.796,106.961,108.461,113.061,122.442,0,0,0,,,,27.896,27.396,46.042,H C D HD CD 
27,76.530,0,4,4,76.530,76.530,77.740,79.240,83.840,97.206,0,0,0,,,,0.000,0.000,20.676,C D CD 
28,77.680,0,3,7,89.385,87.130,92.030,93.530,98.130,110.426,0,0,0,,,,11.705,9.450,32.746,D 
29,90.280,0,6,7,90.280,90.280,92.030,93.530,98.130,125.322,0,0,0,,,,0.000,0.000,35.042,
30,105.850,0,5,0,110.926,109.582,113.571,115.071,119.671,134.021,0,1,0,,5.076,3.732,5.076,3.732,28.171,C D CD 
31,107.280,0,5,0,110.926,109.582,113.571,115.071,119.671,134.021,0,0,0,,,,3.646,2.302,26.741,C D CD 
32,108.200,0,9,0,110.926,109.582,113.571,115.071,119.671,161.779,0,0,0,,,,2.726,1.382,53.579,C D CD 
33,111.040,0,2,2,121.745,119.490,124.390,125.890,130.490,141.519,0,1,0,,10.705,8.450,10.705,8.450,30.479,C D CD 
34,111.060,0,7,0,111.060,111.060,113.571,115.071,119.671,148.150,0,0,0,,,,0.000,0.000,37.090,C D CD 
