Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.830,4,0,2,4.546,4.046,7.211,8.711,13.311,39.588,1,1,0,,2.716,2.216,2.716,2.216,37.758,
2,10.570,3,0,2,18.527,18.027,21.192,22.692,27.292,39.588,1,1,0,,7.957,7.457,7.957,7.457,29.018,
3,15.110,7,0,1,15.110,15.110,15.110,16.610,21.210,37.560,1,1,0,,0.000,0.000,0.000,0.000,22.450,
4,16.720,9,0,5,16.720,16.720,16.720,18.220,22.820,106.591,1,1,0,,0.000,0.000,0.000,0.000,89.871,
5,17.210,9,0,5,17.210,17.210,16.720,18.220,22.820,106.591,0,0,0,,,,0.000,0.000,89.381,
6,17.680,9,0,5,17.680,17.680,16.720,18.220,22.820,106.591,0,0,0,,,,0.000,0.000,88.911,
7,19.070,8,0,5,28.036,27.536,30.701,32.201,36.801,106.591,1,1,0,,8.966,8.466,8.966,8.466,87.521,
8,23.090,9,0,3,28.741,26.763,31.386,32.886,37.486,55.836,1,1,0,,5.651,3.673,5.651,3.673,32.746,
9,28.250,9,0,3,28.741,28.250,31.386,32.886,37.486,55.836,0,0,0,,,,0.491,0.000,27.586,
10,28.480,4,0,5,46.022,43.509,48.667,50.167,55.267,106.591,1,1,0,,17.542,15.029,17.542,15.029,78.111,
11,29.720,4,0,5,46.022,43.509,48.667,50.167,55.267,106.591,0,0,0,,,,16.302,13.789,76.871,
12,40.310,2,0,0,40.310,40.310,40.310,41.810,46.410,57.439,1,1,0,,0.000,0.000,0.000,0.000,17.129,
13,40.600,4,0,5,46.022,43.509,48.667,50.167,55.267,106.591,0,0,0,,,,5.422,2.909,65.991,
14,41.880,4,0,5,46.022,43.509,48.667,50.167,55.267,106.591,0,0,0,,,,4.142,1.629,64.711,
15,45.420,4,0,5,46.022,45.420,48.667,50.167,55.267,106.591,0,0,0,,,,0.602,0.000,61.171,
16,45.740,6,0,4,53.445,51.190,56.090,57.590,62.190,116.810,1,1,0,,7.705,5.450,7.705,5.450,71.070,
17,50.280,3,0,5,60.482,59.982,63.148,64.648,69.248,106.591,1,1,0,,10.202,9.702,10.202,9.702,56.311,
18,50.540,9,0,3,73.141,70.886,75.786,77.286,81.886,139.180,1,1,0,,22.601,20.346,22.601,20.346,88.640,
19,51.020,6,0,4,53.445,51.190,56.090,57.590,62.190,116.810,0,0,0,,,,2.425,0.170,65.790,
20,52.790,7,0,2,62.495,60.240,65.140,66.640,71.240,114.216,1,1,0,,9.705,7.450,9.705,7.450,61.426,
21,53.550,4,0,5,53.550,53.550,48.667,50.167,55.267,106.591,0,0,0,,,,0.000,0.000,53.041,
22,55.390,7,0,2,62.495,60.240,65.140,66.640,71.240,114.216,0,0,0,,,,7.105,4.850,58.826,
23,55.730,4,0,4,69.074,67.729,71.719,73.219,77.819,116.810,1,1,0,,13.344,11.999,13.344,11.999,61.080,
24,59.530,7,0,2,62.495,60.240,65.140,66.640,71.240,114.216,0,0,0,,,,2.965,0.710,54.686,
25,60.540,4,0,4,69.074,67.729,71.719,73.219,77.819,116.810,0,0,0,,,,8.534,7.189,56.270,
26,62.070,1,0,5,88.445,87.945,91.110,92.610,97.210,106.591,1,1,0,,26.375,25.875,26.375,25.875,44.521,
27,62.130,7,0,2,62.495,62.130,65.140,66.640,71.240,114.216,0,0,0,,,,0.365,0.000,52.086,
28,64.250,9,0,3,73.141,70.886,75.786,77.286,81.886,139.180,0,0,0,,,,8.891,6.636,74.930,
29,65.030,2,0,5,74.463,73.963,77.129,78.629,83.229,106.591,1,1,0,,9.433,8.933,9.433,8.933,41.561,
30,68.510,6,0,2,76.456,75.956,79.121,80.621,85.221,114.216,1,1,0,,7.946,7.446,7.946,7.446,45.706,
31,69.510,8,0,3,87.102,86.602,89.767,91.267,95.867,139.180,1,1,0,,17.592,17.092,17.592,17.092,69.670,
32,72.130,4,0,4,72.130,72.130,71.719,73.219,77.819,116.810,0,0,0,,,,0.000,0.000,44.680,
33,75.920,7,0,3,101.083,100.583,103.748,105.248,109.848,139.180,1,1,0,,25.163,24.663,25.163,24.663,63.260,
34,80.250,3,0,4,83.034,82.534,85.700,87.200,91.800,116.810,1,1,0,,2.784,2.284,2.784,2.284,36.560,
35,80.920,4,0,2,92.105,90.761,94.750,96.250,100.850,114.216,1,1,0,,11.185,9.841,11.185,9.841,33.296,
36,83.720,2,0,4,97.016,96.516,99.681,101.181,105.781,116.810,1,1,0,,13.296,12.796,13.296,12.796,33.090,
37,87.010,4,0,2,92.105,90.761,94.750,96.250,100.850,114.216,0,0,0,,,,5.095,3.751,27.206,
38,89.740,6,0,3,115.064,114.564,117.730,119.230,123.830,139.180,1,1,0,,25.324,24.824,25.324,24.824,49.440,
39,102.730,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,1,1,0,,45.616,43.361,45.616,43.361,70.227,
40,104.270,9,0,5,129.396,127.141,132.041,133.541,138.141,172.957,1,1,0,,25.126,22.871,25.126,22.871,68.687,
41,108.910,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,0,0,0,,,,39.436,37.181,64.047,
42,110.960,2,0,4,155.565,153.310,158.210,159.710,164.310,187.672,1,1,0,,44.605,42.350,44.605,42.350,76.712,
43,112.010,8,0,4,135.615,133.360,138.260,139.760,144.360,187.672,1,1,0,,23.605,21.350,23.605,21.350,75.662,
44,112.430,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,0,0,0,,,,35.916,33.661,60.527,
45,113.570,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,0,0,0,,,,34.776,32.521,59.387,
46,116.610,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,0,0,0,,,,31.736,29.481,56.347,
47,119.100,2,0,4,155.565,153.310,158.210,159.710,164.310,187.672,0,0,0,,,,36.465,34.210,68.572,
48,124.990,9,0,5,129.396,127.141,132.041,133.541,138.141,172.957,0,0,0,,,,4.406,2.151,47.967,
49,126.520,2,0,4,155.565,153.310,158.210,159.710,164.310,187.672,0,0,0,,,,29.045,26.790,61.152,
50,126.660,9,0,5,129.396,127.141,132.041,133.541,138.141,172.957,0,0,0,,,,2.736,0.481,46.297,
51,126.690,8,0,4,135.615,133.360,138.260,139.760,144.360,187.672,0,0,0,,,,8.925,6.670,60.982,
52,129.400,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,0,0,0,,,,18.946,16.691,43.557,
53,137.180,8,0,4,137.180,137.180,138.260,139.760,144.360,187.672,0,0,0,,,,0.000,0.000,50.492,
54,137.510,9,0,5,137.510,137.510,132.041,133.541,138.141,172.957,0,0,0,,,,0.000,0.000,35.447,
55,140.670,9,0,3,157.985,155.730,160.630,162.130,166.730,225.334,1,1,0,,17.315,15.060,17.315,15.060,84.664,
56,141.440,2,0,4,155.565,153.310,158.210,159.710,164.310,187.672,0,0,0,,,,14.125,11.870,46.232,
57,145.140,9,0,3,157.985,155.730,160.630,162.130,166.730,225.334,0,0,0,,,,12.845,10.590,80.194,
58,145.570,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,0,0,0,,,,2.776,0.521,27.387,
59,145.730,4,0,5,148.346,146.091,150.991,152.491,159.591,172.957,0,0,0,,,,2.616,0.361,27.227,
60,149.850,2,0,4,155.565,153.310,158.210,159.710,164.310,187.672,0,0,0,,,,5.715,3.460,37.822,
61,150.710,7,0,3,173.614,172.269,176.259,177.759,182.359,225.334,1,1,0,,22.904,21.559,22.904,21.559,74.624,
62,150.730,4,0,5,150.730,150.730,150.991,152.491,159.591,172.957,0,0,0,,,,0.000,0.000,22.227,
63,151.150,7,0,3,173.614,172.269,176.259,177.759,182.359,225.334,0,0,0,,,,22.464,21.119,74.184,
64,152.010,1,0,4,169.526,169.026,172.191,173.691,178.291,187.672,1,1,0,,17.516,17.016,17.516,17.016,35.662,
