Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,4.160,0,7,0,4.160,4.160,4.160,5.660,10.260,49.814,1,1,0,,0.000,0.000,0.000,0.000,45.654,
2,7.880,0,4,0,7.880,7.880,4.160,5.660,10.260,34.918,0,0,0,,,,0.000,0.000,27.038,
3,9.620,0,2,0,9.620,9.620,4.160,5.660,10.260,21.289,0,0,0,,,,0.000,0.000,11.669,
4,10.790,0,7,1,13.506,13.006,16.171,17.671,23.271,74.159,1,1,0,,2.716,2.216,2.716,2.216,63.369,
5,12.480,0,5,1,13.506,13.006,16.171,17.671,23.271,49.696,0,0,0,,,,1.026,0.526,37.216,
6,15.230,0,9,1,15.230,15.230,16.171,17.671,23.271,87.787,0,0,0,,,,0.000,0.000,72.557,
7,15.330,0,5,1,15.330,15.330,16.171,17.671,23.271,49.696,0,0,0,,,,0.000,0.000,34.366,
8,15.470,0,3,1,15.470,15.470,16.171,17.671,23.271,35.567,0,0,0,,,,0.000,0.000,20.097,
9,15.800,0,6,1,15.800,15.800,16.171,17.671,23.271,62.177,0,0,0,,,,0.000,0.000,46.377,
10,15.900,0,3,1,15.900,15.900,16.171,17.671,23.271,35.567,0,0,0,,,,0.000,0.000,19.667,
11,28.990,0,3,2,34.641,32.663,37.286,38.786,44.886,57.182,1,1,0,,5.651,3.673,5.651,3.673,28.192,
12,30.400,0,7,2,34.641,32.663,37.286,38.786,44.886,95.774,0,0,0,,,,4.241,2.263,65.374,
13,32.680,0,3,2,34.641,32.680,37.286,38.786,44.886,57.182,0,0,0,,,,1.961,0.000,24.502,
14,33.220,0,5,2,34.641,33.220,37.286,38.786,44.886,71.811,0,0,0,,,,1.421,0.000,38.591,
15,34.350,0,6,2,34.641,34.350,37.286,38.786,44.886,83.792,0,0,0,,,,0.291,0.000,49.442,
16,38.040,0,8,2,38.040,38.040,37.286,38.786,44.886,108.255,0,0,0,,,,0.000,0.000,70.215,
17,38.870,0,3,2,38.870,38.870,37.286,38.786,44.886,57.182,0,0,0,,,,0.000,0.000,18.312,
18,40.770,0,7,2,40.770,40.770,37.286,38.786,44.886,95.774,0,0,0,,,,0.000,0.000,55.004,
19,47.300,0,5,4,57.005,54.750,59.650,61.150,68.250,104.889,1,1,0,,9.705,7.450,9.705,7.450,57.589,
20,52.670,0,6,4,57.005,54.750,59.650,61.150,68.250,117.870,0,0,0,,,,4.335,2.080,65.200,
21,56.630,0,5,4,57.005,56.630,59.650,61.150,68.250,104.889,0,0,0,,,,0.375,0.000,48.259,
22,57.080,0,6,4,57.080,57.080,59.650,61.150,68.250,117.870,0,0,0,,,,0.000,0.000,60.790,
23,58.510,0,8,4,58.510,58.510,59.650,61.150,68.250,142.832,0,0,0,,,,0.000,0.000,84.322,
24,63.250,0,2,4,63.250,63.250,59.650,61.150,68.250,79.279,0,0,0,,,,0.000,0.000,16.029,
25,64.500,0,3,4,64.500,64.500,59.650,61.150,68.250,91.260,0,0,0,,,,0.000,0.000,26.760,
26,64.650,0,7,4,64.650,64.650,59.650,61.150,68.250,130.351,0,0,0,,,,0.000,0.000,65.701,
27,65.720,0,7,4,65.720,65.720,59.650,61.150,68.250,130.351,0,0,0,,,,0.000,0.000,64.631,
28,67.080,0,5,4,67.080,67.080,59.650,61.150,68.250,104.889,0,0,0,,,,0.000,0.000,37.809,
29,70.940,0,7,3,78.645,76.390,81.290,82.790,87.390,126.944,1,1,0,,7.705,5.450,7.705,5.450,56.004,
30,76.710,0,8,3,78.645,76.710,81.290,82.790,87.390,138.925,0,0,0,,,,1.935,0.000,62.215,
31,78.030,0,2,3,78.645,78.030,81.290,82.790,87.390,98.419,0,0,0,,,,0.615,0.000,20.389,
32,85.310,0,5,3,85.310,85.310,81.290,82.790,87.390,113.315,0,0,0,,,,0.000,0.000,28.005,
33,87.970,0,2,0,97.675,95.420,100.320,101.820,106.420,117.449,1,1,0,,9.705,7.450,9.705,7.450,29.479,
34,94.380,0,9,0,97.675,95.420,100.320,101.820,106.420,147.380,0,0,0,,,,3.295,1.040,53.000,
35,103.090,0,3,0,103.090,103.090,100.320,101.820,106.420,129.430,0,0,0,,,,0.000,0.000,26.340,
36,117.520,0,7,5,128.225,125.970,130.870,132.370,140.470,204.071,1,1,0,,10.705,8.450,10.705,8.450,86.551,
37,117.870,0,3,5,128.225,125.970,130.870,132.370,140.470,164.980,0,0,0,,,,10.355,8.100,47.110,
38,118.600,0,2,5,128.225,125.970,130.870,132.370,140.470,151.499,0,0,0,,,,9.625,7.370,32.899,
39,119.960,0,2,5,128.225,125.970,130.870,132.370,140.470,151.499,0,0,0,,,,8.265,6.010,31.539,
40,125.110,0,3,5,128.225,125.970,130.870,132.370,140.470,164.980,0,0,0,,,,3.115,0.860,39.870,
41,125.710,0,3,5,128.225,125.970,130.870,132.370,140.470,164.980,0,0,0,,,,2.515,0.260,39.270,
42,128.230,0,5,5,128.230,128.230,130.870,132.370,140.470,189.942,0,0,0,,,,0.000,0.000,61.712,
43,129.740,0,9,5,129.740,129.740,130.870,132.370,140.470,217.700,0,0,0,,,,0.000,0.000,87.960,
44,132.790,0,4,5,132.790,132.790,130.870,132.370,140.470,177.961,0,0,0,,,,0.000,0.000,45.171,
45,133.750,0,2,5,133.750,133.750,130.870,132.370,140.470,151.499,0,0,0,,,,0.000,0.000,17.749,
46,134.460,0,2,5,134.460,134.460,130.870,132.370,140.470,151.499,0,0,0,,,,0.000,0.000,17.039,
47,135.660,0,5,5,135.660,135.660,130.870,132.370,140.470,189.942,0,0,0,,,,0.000,0.000,54.282,
48,142.550,0,7,4,158.638,156.382,161.282,162.782,168.382,241.817,1,1,0,,16.088,13.832,16.088,13.832,99.267,
49,148.700,0,3,4,158.638,156.382,161.282,162.782,168.382,203.726,0,0,0,,,,9.938,7.682,55.026,
50,153.220,0,5,4,158.638,156.382,161.282,162.782,168.382,217.355,0,0,0,,,,5.418,3.162,64.135,
51,155.370,0,2,4,158.638,156.382,161.282,162.782,168.382,191.745,0,0,0,,,,3.268,1.012,36.375,
52,156.540,0,1,4,158.638,156.540,161.282,162.782,168.382,177.763,0,0,0,,,,2.098,0.000,21.223,
53,161.280,0,5,4,161.280,161.280,161.282,162.782,168.382,217.355,0,0,0,,,,0.000,0.000,56.075,
54,166.300,0,6,4,166.300,166.300,161.282,162.782,168.382,229.836,0,0,0,,,,0.000,0.000,63.536,
55,170.330,0,3,3,181.035,178.780,183.680,185.180,191.780,216.790,1,1,0,,10.705,8.450,10.705,8.450,46.460,
56,171.970,0,8,3,181.035,178.780,183.680,185.180,191.780,257.529,0,0,0,,,,9.065,6.810,85.559,
57,172.660,0,5,3,181.035,178.780,183.680,185.180,191.780,230.419,0,0,0,,,,8.375,6.120,57.759,
58,174.290,0,9,3,181.035,178.780,183.680,185.180,191.780,269.510,0,0,0,,,,6.745,4.490,95.220,
59,176.410,0,5,3,181.035,178.780,183.680,185.180,191.780,230.419,0,0,0,,,,4.625,2.370,54.009,
60,177.430,0,1,3,181.035,178.780,183.680,185.180,191.780,201.161,0,0,0,,,,3.605,1.350,23.731,
61,180.490,0,7,3,181.035,180.490,183.680,185.180,191.780,245.048,0,0,0,,,,0.545,0.000,64.558,
62,182.130,0,7,3,182.130,182.130,183.680,185.180,191.780,245.048,0,0,0,,,,0.000,0.000,62.918,
63,186.830,0,5,3,186.830,186.830,183.680,185.180,191.780,230.419,0,0,0,,,,0.000,0.000,43.589,
64,193.400,0,2,2,204.105,201.850,206.750,208.250,214.350,237.712,1,1,0,,10.705,8.450,10.705,8.450,44.312,
65,202.300,0,6,2,204.105,202.300,206.750,208.250,214.350,276.803,0,0,0,,,,1.805,0.000,74.503,
66,202.310,0,2,2,204.105,202.310,206.750,208.250,214.350,237.712,0,0,0,,,,1.795,0.000,35.402,
67,206.350,0,1,2,206.350,206.350,206.750,208.250,214.350,223.731,0,0,0,,,,0.000,0.000,17.381,
68,209.130,0,4,2,209.130,209.130,206.750,208.250,214.350,263.175,0,0,0,,,,0.000,0.000,54.045,
69,209.180,0,3,2,209.180,209.180,206.750,208.250,214.350,250.693,0,0,0,,,,0.000,0.000,41.513,
70,210.890,0,2,2,210.890,210.890,206.750,208.250,214.350,237.712,0,0,0,,,,0.000,0.000,26.822,
71,212.350,0,3,2,212.350,212.350,206.750,208.250,214.350,250.693,0,0,0,,,,0.000,0.000,38.343,
72,215.930,0,3,5,234.505,232.250,237.150,238.650,248.150,283.493,1,1,0,,18.575,16.320,18.575,16.320,67.563,
73,220.590,0,5,5,234.505,232.250,237.150,238.650,248.150,308.956,0,0,0,,,,13.915,11.660,88.366,
74,221.610,0,6,5,234.505,232.250,237.150,238.650,248.150,322.437,0,0,0,,,,12.895,10.640,100.827,
75,223.220,0,4,5,234.505,232.250,237.150,238.650,248.150,296.475,0,0,0,,,,11.285,9.030,73.255,
76,224.030,0,5,5,234.505,232.250,237.150,238.650,248.150,308.956,0,0,0,,,,10.475,8.220,84.926,
77,231.960,0,3,5,234.505,232.250,237.150,238.650,248.150,283.493,0,0,0,,,,2.545,0.290,51.533,
78,232.040,0,5,5,234.505,232.250,237.150,238.650,248.150,308.956,0,0,0,,,,2.465,0.210,76.916,
79,234.100,0,2,5,234.505,234.100,237.150,238.650,248.150,271.512,0,0,0,,,,0.405,0.000,37.412,
80,235.560,0,7,5,235.560,235.560,237.150,238.650,248.150,334.918,0,0,0,,,,0.000,0.000,99.358,
81,236.770,0,1,5,236.770,236.770,237.150,238.650,248.150,257.531,0,0,0,,,,0.000,0.000,20.761,
82,238.480,0,1,5,238.480,238.480,237.150,238.650,248.150,257.531,0,0,0,,,,0.000,0.000,19.051,
83,242.310,0,5,5,242.310,242.310,237.150,238.650,248.150,308.956,0,0,0,,,,0.000,0.000,66.646,
84,243.690,0,6,5,243.690,243.690,237.150,238.650,248.150,322.437,0,0,0,,,,0.000,0.000,78.747,
85,246.660,0,4,5,246.660,246.660,237.150,238.650,248.150,296.475,0,0,0,,,,0.000,0.000,49.815,
86,246.690,0,3,5,246.690,246.690,237.150,238.650,248.150,283.493,0,0,0,,,,0.000,0.000,36.803,
87,248.600,0,5,4,258.305,256.050,260.950,262.450,269.050,295.475,1,1,0,,9.705,7.450,9.705,7.450,46.875,
88,249.690,0,7,4,258.305,256.050,260.950,262.450,269.050,320.937,0,0,0,,,,8.615,6.360,71.247,
89,251.640,0,6,4,258.305,256.050,260.950,262.450,269.050,307.456,0,0,0,,,,6.665,4.410,55.816,
90,252.880,0,3,4,258.305,256.050,260.950,262.450,269.050,281.346,0,0,0,,,,5.425,3.170,28.466,
91,253.290,0,6,4,258.305,256.050,260.950,262.450,269.050,307.456,0,0,0,,,,5.015,2.760,54.166,
92,261.410,0,6,4,261.410,261.410,260.950,262.450,269.050,307.456,0,0,0,,,,0.000,0.000,46.046,
93,264.910,0,3,4,264.910,264.910,260.950,262.450,269.050,281.346,0,0,0,,,,0.000,0.000,16.436,
94,266.050,0,7,4,266.050,266.050,260.950,262.450,269.050,320.937,0,0,0,,,,0.000,0.000,54.887,
95,267.720,0,6,4,267.720,267.720,260.950,262.450,269.050,307.456,0,0,0,,,,0.000,0.000,39.736,
96,269.350,0,3,3,286.315,284.060,288.960,290.460,298.560,321.570,1,1,0,,16.965,14.710,16.965,14.710,52.220,
97,272.060,0,3,3,286.315,284.060,288.960,290.460,298.560,321.570,0,0,0,,,,14.255,12.000,49.510,
98,274.310,0,4,3,286.315,284.060,288.960,290.460,298.560,335.551,0,0,0,,,,12.005,9.750,61.241,
99,276.500,0,3,3,286.315,284.060,288.960,290.460,298.560,321.570,0,0,0,,,,9.815,7.560,45.070,
100,283.420,0,2,3,286.315,284.060,288.960,290.460,298.560,309.589,0,0,0,,,,2.895,0.640,26.169,
101,285.310,0,6,3,286.315,285.310,288.960,290.460,298.560,360.014,0,0,0,,,,1.005,0.000,74.704,
