Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.570,0,9,0,1.570,1.570,1.570,3.070,7.670,26.022,1,1,0,,0.000,0.000,0.000,0.000,24.452,
2,1.900,0,8,1,43.900,41.645,46.474,47.974,52.574,69.926,0,1,0,,42.000,39.745,42.000,39.745,68.026,H C D HD CD 
3,2.200,0,3,2,24.241,23.741,26.835,28.335,32.935,45.233,0,1,0,,22.041,21.541,22.041,21.541,43.033,H C D HD CD 
4,2.500,0,7,3,10.278,8.023,12.852,14.352,18.952,35.304,0,1,0,,7.778,5.523,7.778,5.523,32.804,D 
5,2.800,0,8,4,27.841,27.341,30.435,31.935,37.619,54.971,0,1,0,,25.041,24.541,25.041,24.541,52.171,H C D HD CD 
6,3.100,0,4,5,13.878,11.623,16.452,17.952,22.552,35.920,0,1,0,,10.778,8.523,10.778,8.523,32.820,C D CD 
7,3.400,0,8,6,3.400,3.400,3.400,4.900,9.500,26.852,0,1,0,,0.000,0.000,0.000,0.000,23.452,C D CD 
8,3.700,0,5,7,43.730,41.475,46.304,47.804,52.404,66.756,0,1,0,,40.030,37.775,40.030,37.775,63.056,H C D HD CD 
