Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,2.830,7,8,1,2.830,2.830,2.830,4.330,8.930,18.311,1,1,0,,0.000,0.000,0.000,0.000,15.481,
2,8.840,1,9,7,15.561,13.048,18.206,19.706,24.306,53.285,1,1,0,,6.721,4.208,6.721,4.208,44.445,
3,15.490,7,9,3,18.206,17.706,20.871,22.371,26.971,38.000,1,1,0,,2.716,2.216,2.716,2.216,22.510,
4,22.550,1,3,7,22.550,22.550,18.206,19.706,24.306,35.335,0,0,0,,,,0.000,0.000,12.785,
5,24.310,4,1,2,27.026,26.526,29.691,31.191,35.791,48.087,1,1,0,,2.716,2.216,2.716,2.216,23.777,
6,46.780,0,7,1,56.535,55.230,60.130,61.630,66.230,82.580,1,1,0,,9.755,8.450,9.755,8.450,35.800,
7,56.880,2,1,2,59.596,59.096,62.261,63.761,68.361,77.742,1,1,0,,2.716,2.216,2.716,2.216,20.862,
8,57.510,4,0,4,63.161,61.183,65.806,67.306,71.906,85.272,1,1,0,,5.651,3.673,5.651,3.673,27.762,
9,65.750,6,0,6,92.084,90.739,94.729,96.229,102.829,129.160,1,1,0,,26.334,24.989,26.334,24.989,63.410,
10,66.990,9,4,0,93.331,91.353,95.976,97.476,102.076,127.923,1,1,0,,26.341,24.363,26.341,24.363,60.933,
11,70.310,4,0,4,70.310,70.310,65.806,67.306,71.906,85.272,0,0,0,,,,0.000,0.000,14.962,
12,71.030,8,3,2,92.547,90.292,95.192,96.692,101.292,115.642,1,1,0,,21.517,19.262,21.517,19.262,44.612,C D CD 
13,71.690,8,6,6,71.690,74.200,79.100,80.600,85.200,96.229,0,1,0,,0.000,2.510,0.000,2.510,24.539,
14,84.080,6,2,4,101.077,98.822,103.722,105.222,109.822,123.187,0,1,0,,16.997,14.742,16.997,14.742,39.107,C D CD 
15,90.560,6,1,6,92.084,90.739,94.729,96.229,102.829,117.179,0,0,0,,,,1.524,0.179,26.619,
16,91.820,9,8,0,93.331,91.820,95.976,97.476,102.076,111.457,0,0,0,,,,1.511,0.000,19.637,
17,97.040,9,8,0,97.040,97.040,95.976,97.476,102.076,111.457,0,0,0,,,,0.000,0.000,14.417,
18,97.920,2,0,4,119.043,116.530,121.687,123.187,129.787,140.816,1,1,0,,21.123,18.610,21.123,18.610,42.896,NULL 
19,102.200,2,8,7,116.934,114.679,119.579,121.079,125.679,141.029,1,1,0,,14.734,12.479,14.734,12.479,38.829,
20,117.890,5,0,2,125.126,123.782,127.771,129.271,133.871,148.221,1,1,0,,7.236,5.892,7.236,5.892,30.331,
21,118.790,9,7,0,140.728,138.473,143.373,144.873,149.473,170.835,1,1,0,,21.938,19.683,21.938,19.683,52.045,
22,119.530,0,3,5,150.632,150.132,153.297,154.797,159.397,171.694,1,1,0,,31.102,30.602,31.102,30.602,52.164,NULL H D 
23,127.970,2,0,4,127.970,127.970,121.687,123.187,129.787,140.816,0,0,0,,,,0.000,0.000,12.846,
24,129.620,9,8,0,140.728,138.473,143.373,144.873,149.473,158.854,0,0,0,,,,11.108,8.853,29.234,
25,135.580,0,8,7,156.834,154.579,159.479,160.979,165.579,182.929,0,1,0,,21.254,18.999,21.254,18.999,47.349,NULL C D CD 
26,136.150,1,8,3,146.634,144.600,149.500,151.000,155.600,185.579,1,1,0,,10.484,8.450,10.484,8.450,49.429,
27,143.400,1,8,3,146.634,144.600,149.500,151.000,155.600,185.579,0,0,0,,,,3.234,1.200,42.179,
