Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,1.620,6,0,4,4.409,3.909,7.003,8.503,13.103,28.455,1,1,0,,2.789,2.289,2.789,2.289,26.835,
2,11.220,0,4,5,106.987,106.487,109.582,111.082,115.682,141.963,1,1,0,,95.767,95.267,95.767,95.267,130.743,NULL H D HD 
3,12.590,6,0,4,12.590,12.590,7.003,8.503,13.103,28.455,0,0,0,,,,0.000,0.000,15.865,
4,27.290,3,0,4,60.625,60.125,63.220,64.720,69.320,94.334,1,1,0,,33.335,32.835,33.335,32.835,67.044,
5,27.930,5,6,5,38.249,35.736,40.823,42.323,46.923,56.306,1,1,0,,10.319,7.806,10.319,7.806,28.376,
6,37.420,4,0,4,46.642,46.142,49.236,50.736,55.336,94.334,1,1,0,,9.222,8.722,9.222,8.722,56.914,
7,46.510,3,0,4,60.625,60.125,63.220,64.720,69.320,94.334,0,0,0,,,,14.115,13.615,47.824,
8,55.530,2,0,4,74.608,74.108,77.203,78.703,83.303,94.334,1,1,0,,19.078,18.578,19.078,18.578,38.804,
9,60.030,2,0,4,74.608,74.108,77.203,78.703,83.303,94.334,0,0,0,,,,14.578,14.078,34.304,
10,61.440,5,0,4,156.739,155.395,159.313,160.813,165.413,179.765,1,1,0,,95.299,93.955,95.299,93.955,118.325,
11,106.070,3,7,5,123.906,121.928,126.480,127.980,132.580,160.861,1,1,0,,17.836,15.858,17.836,15.858,54.791,
12,111.530,4,7,5,137.869,137.369,140.463,141.963,148.563,160.861,1,1,0,,26.339,25.839,26.339,25.839,49.331,
13,123.550,0,8,5,189.908,192.020,196.849,198.349,202.949,231.932,1,1,0,,66.358,68.470,66.358,68.470,108.382,NULL H 
14,124.420,0,8,5,189.908,192.020,196.849,198.349,202.949,231.932,0,0,0,,,,65.488,67.600,107.512,NULL H 
15,135.570,5,0,4,156.739,155.395,159.313,160.813,165.413,179.765,0,0,0,,,,21.169,19.825,44.195,
16,148.150,4,9,5,148.150,148.150,140.463,141.963,148.563,174.992,0,0,0,,,,0.000,0.000,26.842,
17,148.460,5,0,4,156.739,155.395,159.313,160.813,165.413,179.765,0,0,0,,,,8.279,6.935,31.305,
18,164.510,5,0,4,164.510,164.510,159.313,160.813,165.413,179.765,0,0,0,,,,0.000,0.000,15.255,
19,174.010,6,4,4,227.123,226.623,229.717,231.217,235.817,259.184,1,1,0,,53.113,52.613,53.113,52.613,85.174,NULL H 
20,175.590,5,0,4,241.106,240.606,243.701,245.201,249.801,290.065,1,1,0,,65.516,65.016,65.516,65.016,114.475,
21,178.220,4,0,4,255.089,254.589,257.684,259.184,265.784,290.065,1,1,0,,76.869,76.369,76.869,76.369,111.845,
22,184.080,6,0,4,227.123,226.623,229.717,231.217,235.817,290.065,0,0,0,,,,43.043,42.543,105.985,NULL H 
23,185.660,5,3,4,241.106,240.606,243.701,245.201,249.801,275.167,0,0,0,,,,55.446,54.946,89.507,
24,188.220,4,0,4,255.089,254.589,257.684,259.184,265.784,290.065,0,0,0,,,,66.869,66.369,101.845,
25,189.870,0,8,5,189.908,192.020,196.849,198.349,202.949,231.932,0,0,0,,,,0.038,2.150,42.062,
26,201.720,0,6,5,201.720,201.720,196.849,198.349,202.949,218.301,0,0,0,,,,0.000,0.000,16.581,
27,204.100,6,0,4,227.123,226.623,229.717,231.217,235.817,290.065,0,0,0,,,,23.023,22.523,85.965,NULL H 
28,207.950,4,0,4,255.089,254.589,257.684,259.184,265.784,290.065,0,0,0,,,,47.139,46.639,82.115,
