Index,T arrival,Origin,Dest,Assignment,T end wait AP,T end wait CP,T door opening,T door opened,T door close,T depart,Reg dir,Reg car-dir,Re-Reg,T Re-Reg,Reg AP T,Reg CP T,Wait AP T,Wait CP T,Srvc T,Rejection
1,0.650,1,9,0,4.462,3.962,7.056,8.556,24.032,41.384,1,1,0,,3.812,3.312,3.812,3.312,40.734,
2,8.000,7,10,1,15.791,15.291,18.385,19.885,24.485,36.783,1,1,0,,7.791,7.291,7.791,7.291,28.783,
